Dutch,English
ik,I
je,is
het,It
de,of
dat,that
is,is
een,An
niet,not 
en,in
van,by
wat,what
we,we
in,in
ze,she
hij,he
te,the
zijn,are
op,on
maar,but
er,is
met,of
voor,for
die,the
heb,have
me,me
als,when
was,was
ben,ben
om,about
dit,it
mijn,mine
aan,On
u,in
dan,and
n,n
naar,Unpleasant
weet,know
hier,here
zo,Like this
jij,you
kan,able to
geen,no
nog,yet
ja,and
hem,both
heeft,has
wel,well
moet,must
wil,will
hebben,to have
goed,Good
haar,her
nee,nee
hoe,how
nu,not
waar,Where
over,over
ook,also
doen,doing
uit,out 
zou,would
ga,for
of,of
gaan,go
bent,bent
mij,me
bij,bee
al,al
ons,we
had,had
iets,something
daar,there
jullie,you
gaat,go
zal,shall
m,m
hebt,have
kom,cause
waarom,Why
meer,more
deze,this
moeten,must
t,t
laat,late
kunnen,be able to
dus,So
jou,your
denk,think
wie,How
alles,everything
echt,Real
doe,doe
door,door
alleen,only
s,s
toch,However
zien,to see
weg,away
eens,at sometime
man,man
misschien,maybe
laten,to leave
nooit,never
nou,we
zei,said
terug,back
oké,magn
mee,along
niets,nothing
iemand,someone
komt,comes
toen,when
veel,a lot of
even,even
onze,our
gewoon,Ordinary
weten,know
komen,come
nodig,necessary
mensen,people
tot,until
worden,become
zeggen,say
tijd,time
weer,weather
leven,to live
twee,two
net,net
tegen,in return for
maken,to make
uw,your
zeg,say
omdat,because
zit,sit
wordt,is becoming
z,With
hou,modern
kijk,look
heel,all
wij,We
altijd,always
mag,mag
gedaan,done
dood,death
zeker,Certainly
af,of
jaar,year
hun,she
wilde,wild
dag,day
allemaal,all
jouw,your
huis,house
dacht,thought
doet,do
vader,vader
kunt,can
wacht,guard
zie,see 
vrouw,woman
keer,time
andere,Others
zoals,as
zij,she
dank,thanks to
anders,otherwise
geef,give
waren,were
willen,want
zich,himself
bedankt,Thank you
één,An
mr,mr
erg,terribly
wilt,want
praten,to talk
spijt,regret
geld,money
kon,when
werk,work
oh,oh
iedereen,everyone
beter,better
werd,became
moeder,mother
niemand,nobody
vinden,find
staat,stands
gezien,seen
niks,nothing
binnen,inside
zitten,to sit
zullen,shall
na,na
helpen,to help
wist,knew
vind,find
genoeg,enough
sorry,sorry
vast,vast
elkaar,each other
ging,went
uur,o'clock
klaar,finished
hele,all
neem,take
leuk,nice
natuurlijk,Naturally
alle,to
god,god
maak,make
lang,lang
kwam,came
graag,Please
hé,hook
toe,then
drie,three
zegt,say
bedoel,mean
deed,deed
dingen,stuff
maakt,makes
alsjeblieft,please
eerste,first
krijgen,to get
zonder,without
steeds,still
hallo,Hello
houden,to hold
vertellen,narrate
ziet,sees
idee,idea
geven,to give
achter,behind
geweest,been
blijven,to stay
helemaal,absolutely
mooi,Nice
onder,below
kijken,to look
zag,saw
goede,good  
naam,name
moest,had to
blijf,stay
kun,when
auto,auto
luister,listen
grote,great
lijkt,seems
snel,fast
ooit,ever 
vragen,to ask
paar,pair
wanneer,when
want,want
meneer,sir
nieuwe,new ones
gebeurd,happened
zorgen,to assure
vriend,friend
beetje,bit
kinderen,children
gek,crazy
hand,hand
vraag,ask
laatste,last
geweldig,awesome
hadden,had
zelfs,even
enige,any
bang,bang
nemen,to take
samen,together
eten,to eat
o,O
zelf,yourself
hoor,hear
geleden,past
staan,to stand
gevonden,found it
jongen,boy
denken,think
vandaag,Today
denkt,thinks
beste,as
gezegd,said
thuis,At home
wereld,world
jongens,boys
heen,to
ken,ken
hen,hen
eerst,first
eigen,own
zoon,son
gelijk,directly
buiten,outside
vertel,tell
morgen,morning
meisje,girl
probleem,problem
alsof,as if
geloof,faith
halen,to fetch 
familie,family
elke,each
zouden,would
hoop,hoop
politie,Police
mannen,men
bijna,almost
vermoord,murdered
eigenlijk,actually
werken,to work
verdomme,damn
horen,to belong
manier,way
zat,substance
vrienden,friends
precies,precisely
kind,kind
hè,is it
kleine,little
begrijp,understand
wou,wanted to
geeft,gives
orde,order
houdt,holds
verder,further
vroeg,early
stop,stop
wachten,to wait
rustig,Calm
hoofd,head
krijg,get
daarom,therefore
gebeurt,happens
soms,sometimes
volgens,according to
dagen,to dawn
vond,found
krijgt,gets
gemaakt,made
kant,kant
werkt,works
open,open
gehad,had
voel,bird
zaak,case
blij,pleased
volgende,following
zoek,search
kans,opportunity
vanavond,this evening
bel,bel
probeer,try
zoeken,to search
oude,old
ding,ding
moment,moment
best,best
tussen,between
plaats,place
pas,not
gehoord,heard
vijf,five
verteld,told
zet,sets
prima,Before
hulp,staff
stad,city
